,Best months for climbing:,Continent:,Convenient Center:,Country:,Difficulty:,Elevation (feet):,Elevation (meters):,First successful climber(s):,Latitude:,Longitude:,Most recent eruption:,Nearest major airport:,Province:,Range/Region:,State:,Volcanic status:,Year first climbed:
Mount Pyramid,"Jun, Jul, Aug",North America,Jasper,Canada,Scramble,9678.0,2949.8544,,52.951327,-118.14834599999999,,,,Canadian Rockies,,,
Mount Thielsen,"Jun, Jul, Aug, Sep, Oct",North America,Fall City,United States,Walk up,9178.0,2797.4544,,43.1531,-122.066,,Medford,,Cascade Range,Oregon,,
Mount Remmel,"May, Jun, Jul, Aug, Sep, Oct",North America,,United States,Walk up,8685.0,2647.188,"Sledge Tatum, and George Lundon",48.923429999999996,-120.196867,,Seattle-Tacoma,,Cascade Range,Washington,,1904.0
Kang-Yatze,"Jun, Jul, Aug",Asia,Hemis,India,Basic Snow/Ice Climb,20997.0,6399.8856,,,,,Leh,,,,,
Flat Top,"Jul, Aug, Sep",Asia,Padam or Kargil,India,Basic Snow/Ice Climb,20013.0,6099.9624,A bartender from Wales,,,,Srinagar or Leh,,,,,1989.0
Punta Tersiva,,Europe,Gimillan,Italy,Scramble,11525.0,3512.82,,45.620526,7.475878999999999,,"Torino, Milano",,,,,
Torrecerredo,"May, Jun, Jul, Aug, Sep",Europe,Arenas de Cabrales,Spain,Scramble,8688.0,2648.1024,,43.196667,-4.852867,,Oviedo,,Cordillera Cantabrica,,,
Matroosberg,"Mar, Apr, May, Jun, Jul, Aug, Sep",Africa,"De Doorns, Ceres",South Africa,Walk up,7382.0,2250.0336,,,,,Cape Town International,,Cape Ranges,,,
Teide,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Playa de las Americas,Spain,Walk up,12198.0,3717.9504,,28.272334999999998,-16.642570000000003,1909,Tenerife South (Reina Sofia),,Canary Islands,,,
Mount Heyburn,"Jun, Jul, Aug",North America,,United States,Technical Climb,10229.0,3117.7992,,44.1011,-114.975,,Boise,,Idaho-Bitterroot Rockies,Idaho,,1935.0
Chachani,"Mar, Apr, May, Jun, Jul, Aug, Sep",South America,Arequipa,Peru,Basic Snow/Ice Climb,19872.0,6056.9856,,-16.191,-71.53,,Arequipa,,Peruvian Andes,,,
Bratkov Peak,"Jul, Aug, Sep",Europe,Pirot,None,Walk up,6375.0,1943.1,,43.3167,22.75,,Belgrade,,Balkan Mountains,,,
Ghiona,"Jul, Aug, Sep",Europe,"Amfissa, Lamia",Greece,Scramble,8235.0,2510.028,,,,,Athens,,Greek-Albanian Ranges,,,
Snøhetta,"Jun, Jul, Aug, Sep",Europe,Oppdal,Norway,Walk up,7500.0,2286.0,,62.32,9.268333,,Trondheim,,,,,
Taillon,"Jun, Jul, Aug, Sep",Europe,"Gavarnie (France), Bujaruelo (Spain)",France,Walk up,10315.0,3144.012,,42.694675,-0.052872,,"Toulouse (france), Zaragoza (Spain)",,Pyrenees,,,
Mont Joly,"Jun, Jul, Aug",Europe,Les Contamines,France,Walk up,8284.0,2524.9632,,45.825833,6.692778,,Geneve,,,,,
Helmos,"May, Jun, Jul, Aug, Sep, Oct",Europe,Patras,Greece,Walk up,7726.0,2354.8848,,37.973889,22.206944,,Athens,,Greek-Albanian Ranges,,,
Gamila,"May, Jun, Jul, Sep",Europe,Ioannina,Greece,Walk up,8192.0,2496.9216,,,,,Ioannina,,,,,
Bona,"May, Jun, Jul, Aug",North America,Whitehorse and Fairbanks,United States,Major Mountain Expedition,16421.0,5005.1208,,61.3856,-141.749,,Fairbanks,,,Alaska,,
Watzmann,"Jul, Aug, Sep",Europe,,Germany,Scramble,8901.0,2713.0248,,47.55,12.9167,,"Munich, Salzburg",,Kitzbuhel,,,
Gentle Mountain,"Jun, Jul, Aug, Sep, Oct",North America,Marblemount,United States,Walk up,7552.0,2301.8496,,48.562494,-120.708246,,Seattle,,Cascade Range,Washington,,
Tower Mountain,"Aug, Sep, Oct",North America,Marblemount,United States,Scramble,8444.0,2573.7312,,48.588474,-120.704169,,Seattle,,Cascade Range,Washington,,
Sutay Uul,"Jul, Aug, Sep",Asia,Altai or Khovd,Mongolia,Basic Snow/Ice Climb,13418.0,4089.8064,,46.61768,93.594063,,,,Altai,,,
Volcan Ubinas,"Jul, Aug",South America,,Peru,Basic Snow/Ice Climb,18609.0,5672.0232,,-16.348576,-70.902283,,,,Peruvian Andes,,,
Mount Eolus,"Jul, Aug, Sep",North America,Durango,United States,Scramble,14083.0,4292.4984,,37.6228,-107.62100000000001,,Durango,,San Juan Mountains,Colorado,,
Sunlight Peak,"Jul, Aug, Sep",North America,Durango,United States,Scramble,14059.0,4285.1832,,37.6272,-107.595,,Durango,,San Juan Mountains,Colorado,,
Windom Peak,"Jun, Jul, Aug, Sep",North America,Durango,United States,Walk up,14082.0,4292.1936,,37.6214,-107.59100000000001,,Durango,,San Juan Mountains,Colorado,,
El Diente,"Jun, Jul, Aug, Sep",North America,Telluride,United States,Scramble,14159.0,4315.6632,,37.8394,-108.005,,Telluride,,San Juan Mountains,Colorado,,
Chair Peak,"Jun, Jul, Aug, Sep",North America,North Bend,United States,Scramble,6238.0,1901.3424,Hec V. Abel and L.F. Curtis,47.459666,-121.46686100000001,,Seattle,,Cascade Range,Washington,,1913.0
Quandary Peak,"Jun, Jul, Aug, Sep",North America,Breckenridge,United States,Walk up,14265.0,4347.972,,39.3972,-106.10600000000001,,Denver,,Central Colorado Ranges,Colorado,,
Mount Shavano,"Jun, Jul, Aug, Sep",North America,Salida,United States,Walk up,14229.0,4336.9992,Charles Fay (probably miners before him),38.6189,-106.23899999999999,,Colorado Springs or Denver,,Sawatch Range,Colorado,,1888.0
Tabeguache Peak,,North America,Salida,United States,Walk up,14155.0,4314.444,,38.6253,-106.25,,Colorado Springs or Denver,,Sawatch Range,Colorado,,
Mount Princeton,"Jun, Jul, Aug, Sep",North America,Buena Vista,United States,Walk up,14197.0,4327.2456,William Libbey Jr.,38.7494,-106.242,,Denver,,Sawatch Range,Colorado,,1877.0
Grosslitzner,"Jul, Aug, Sep",Europe,Partenen,Austria,Technical Climb,10200.0,3108.96,,46.886361,10.0385,,Zurich,,,,,
Brunegghorn,,Europe,"Tutmann-h?tte, Randa",Switzerland,Basic Snow/Ice Climb,12575.0,3832.86,,46.125944,7.7459169999999995,,"Geneva, Milano",,,,,
Zuckerhuetl,"Jul, Aug, Sep",Europe,Neustift,Austria,Basic Snow/Ice Climb,11499.0,3504.8952,"Specht, Tanzer",46.95,11.15,,Innsbruck,,Stubai Alps,,,1863.0
Sonnjoch,"Jun, Jul, Aug, Sep, Oct",Europe,Pertisau,Austria,Walk up,8064.0,2457.9072,Lipold,47.4,11.6,,Innsbruck,,,,,1843.0
Kompar,"May, Jun, Jul, Aug, Sep, Oct",Europe,Hinterriss,Austria,Walk up,6594.0,2009.8512,,47.453165999999996,11.614609,,"Innsbruck, Munich",,,,,
Katotjakka,,Europe,Abisco,Sweden,Walk up,6532.0,1990.9536,,,,,,,,,,
Big Lake Butte,"May, Jun, Jul, Aug, Sep, Oct",North America,Bend,United States,Walk up,5197.0,1584.0456,,44.364913,-121.890092,,Portland,,Cascade Range,Oregon,,
Bietschhorn,,Europe,"Baltschiederklause, Visp, Kippel,Willer",Switzerland,Technical Climb,12907.0,3934.0536,,46.39125,7.85075,,Geneva,,,,,
Wilder Freiger,"Jul, Aug, Sep",Europe,Neustift,Austria,Basic Snow/Ice Climb,11214.0,3418.0272,Leis,46.8,11.2,,Innsbruck,,Stubai Alps,,,1865.0
Sand Mountain,"May, Jun, Jul, Aug, Sep, Oct",North America,Bend,United States,Walk up,5459.0,1663.9032,,44.384759,-121.928072,,Portland,,Cascade Range,Oregon,,
Rinnerkogel,"Jun, Jul, Aug, Sep",Europe,Bad Ischl,Austria,Walk up,6601.0,2011.9848,,,,,Salzburg,,,,,
Three Fingered Jack,"Jun, Jul, Aug, Sep, Oct",North America,Bend,United States,Technical Climb,7841.0,2389.9368,"Ervin McNeal, Armin Furrer, Phil Philbrook, Elmer Johnson, Leo Harryman, Ernest Putnam",44.479054,-121.8431,,Portland,,Cascade Range,Oregon,,1923.0
Mount Washington,"Jun, Jul, Aug, Sep, Oct",North America,Bend,United States,Technical Climb,7794.0,2375.6112,"Ervin Mcneal, Phil Philbrook, Armin Fuhrer, Wilbur Watkins, Leo Harryman, Ronald Sellers",44.332229,-121.83859299999999,,Portland,,Cascade Range,Oregon,,1923.0
Joels Knoll,"Jun, Jul, Aug, Sep, Oct",North America,Winthrop,United States,Walk up,7331.0,2234.4888,,48.560790000000004,-120.692796,,Seattle,,Cascade Range,Washington,,
Cumulus Mtn.,"Jun, Jul, Aug, Sep, Oct",North America,Winthrop,United States,Walk up,7340.0,2237.232,,48.559,-120.721979,,Seattle,,Cascade Range,Washington,,
Great Gable,,Europe,Keswick / Millom,United Kingdom,Walk up,2949.0,898.8552,,54.4821,-3.21927,,Manchester,,Lake District,,,
Castor,,Europe,"Zermatt, St Jaques, Gressoney",Switzerland,Basic Snow/Ice Climb,13871.0,4227.8808,,45.920916,7.793384,,"Milano, Torino, Geneva, Z?rich",,Pennine Alps,,,
Lenzspitze,,Europe,"Saas Fee, Randa, T?sch",Switzerland,,14088.0,4294.0224,,46.104639,7.868444,,"Geneva, Milano",,Pennine Alps,,,
Joderhorn,"Jun, Jul, Aug, Sep",Europe,"Saas Almagell, Staffa",None,Walk up,9957.0,3034.8936,,,,,,,,,,
Liskamm,,Europe,"Zermatt, Gresonney",Switzerland,Basic Snow/Ice Climb,14852.0,4526.8896,six Swiss guides and seven tourists from England,45.9225,7.8355559999999995,,,,Pennine Alps,,,1861.0
Schiehallion,,Europe,Pitlochry / Killin,United Kingdom,Walk up,3553.0,1082.9544,,56.6681,-4.10339,,Edinburgh,,Scottish Highlands,,,
Halti,"Jul, Aug, Sep",Europe,Kilpisjärvi,Finland,Walk up,4357.0,1328.0136,Early Lapp peoples,69.322633,21.279947,,Enontekiö,,,,,
Kampenwand,"May, Jun, Jul, Aug, Sep, Oct",Europe,,Germany,Walk up,5472.0,1667.8656,,47.75,12.3667,,Munich,,Bavarian Alps,,,
Cima di Jazzi,,Europe,Staffa (Zermatt),Italy,Basic Snow/Ice Climb,12477.0,3802.9896,,45.980681,7.894707,,Milano,,,,,
Haleakala,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,Kahului,United States,Walk up,11500.0,3505.2,Early tahitians,20.7047,-156.17700000000002,,Kahului,,,Hawaii,,
Snezka,Aug,Europe,Jablonec nad Nisou,Czech Republic,Scramble,5256.0,1602.0288,Pavel Nov·k,50.736292,15.740060999999999,,Prague-Ruzyne,,,,,1995.0
Obergabelhorn,"Jun, Jul, Aug",Europe,Zermatt,Switzerland,Technical Climb,13330.0,4062.9840000000004,,46.038333,7.667778,,Geneva,,Pennine Alps,,,
Grand Ballon,"Apr, May, Jun, Jul, Aug, Sep, Oct",Europe,Colmar,France,Walk up,4672.0,1424.0256,,47.75,7.33333,,Strassbourg,,,,,
Monte Amaro,"Apr, May, Jun, Oct, Nov",Europe,Sulmona,Italy,Walk up,9163.0,2792.8824,,42.0833,14.0833,,Roma Fiumicino,,Apennines,,,
Ammergauer Hochplatte,"Jun, Jul, Aug, Sep, Oct",Europe,,Germany,Walk up,6831.0,2082.0888,,47.55,10.8333,,Munich,,,,,
Nordend,"Jul, Aug, Sep",Europe,Zermatt,Switzerland,Basic Snow/Ice Climb,15121.0,4608.8808,"E. Buxton, T.F. Buxton, J.J. Conwell, Guide Michel Payot and Binder",45.942042,7.870044999999999,,Geneva,,Pennine Alps,,,1861.0
Mount Yale,"May, Jun, Jul, Aug",North America,Buena Vista,United States,Walk up,14196.0,4326.9408,"Dwight Whitney, William Brewer, William Davis, S.F. Sharpless, and Robert Moore",38.8442,-106.31299999999999,,Denver,,Sawatch Range,Colorado,,1869.0
Kai-Komagatake,"Jul, Aug, Sep, Oct",Asia,Kofu,Japan,Walk up,9731.0,2966.0088,,35.7581,138.237,,Tokyo,,Honshu,,,
VIA-tau,"Jun, Jul, Aug, Sep",Europe,"Nalchik, Minvody",Russia,Walk up,12533.0,3820.0584,,,,,Minvody,,,,,
Mount Oxford,"May, Jun, Jul, Aug, Sep",North America,Buena Vista or Leadville,United States,Walk up,14153.0,4313.8344,,38.9647,-106.338,,Denver,,Sawatch Range,Colorado,,
Mount Belford,"May, Jun, Jul, Aug, Sep",North America,Buena Vista or Leadville,United States,Walk up,14197.0,4327.2456,,38.9606,-106.361,,Denver,,Sawatch Range,Colorado,,
Juozapine,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Vilnius,Lithuania,Walk up,963.0,293.5224,The local  ancients,54.4667,25.5667,,Vilnius,,,,,
Missouri Mountain,"Jun, Jul, Aug, Sep",North America,Buena Vista or Leadville,United States,Walk up,14067.0,4287.6216,,38.9472,-106.37799999999999,,Denver,,Sawatch Range,Colorado,,
Huron Peak,"May, Jun, Jul, Aug",North America,Buena Vista or Leadville,United States,Walk up,14003.0,4268.1144,,38.9453,-106.43799999999999,,Denver,,Sawatch Range,Colorado,,
Humboldt Peak,"Jun, Jul, Aug, Sep",North America,Westcliffe,United States,Walk up,14064.0,4286.7072,,37.9761,-105.555,,Colorado Springs,,Sangre de Cristo Range,Colorado,,
Ellingwood Point,"Jun, Jul, Aug, Sep",North America,"Ft. Garland, Blanca, or Alamosa",United States,Walk up,14042.0,4280.0016,,37.5825,-105.492,,Colorado Springs,,Sangre de Cristo Range,Colorado,,
San Luis Peak,"Jun, Jul, Aug, Sep",North America,Gunnison,United States,Walk up,14014.0,4271.4672,,37.9869,-106.931,,Colorado Springs,,San Juan Mountains,Colorado,,
Grizzly Peak,"Jul, Aug, Sep",North America,Leadville or Buena Vista,United States,Scramble,13988.0,4263.5424,,39.0425,-106.59700000000001,,Denver,,Sawatch Range,Colorado,,
Stewart Peak,"Jun, Jul, Aug, Sep",North America,Gunnison,United States,Walk up,13983.0,4262.0184,Hayden Survey,38.0233,-106.92299999999999,,Colorado Springs,,San Juan Mountains,Colorado,,1873.0
Mount Ouray,"Jun, Jul, Aug, Sep",North America,Salida,United States,Walk up,13971.0,4258.3608,,38.4225,-106.225,,Colorado Springs,,Sawatch Range,Colorado,,
Helvellyn,"Apr, May, Jun, Jul, Aug, Sep, Oct",Europe,Keswick,United Kingdom,Walk up,3117.0,950.0616,,54.527,-3.01752,,Manchester / Leeds & Bradford,,Lake District,,,
Blue Lake Peak,"May, Jun, Jul, Aug, Sep",North America,,United States,Scramble,7808.0,2379.8784,,48.506739,-120.657177,,Seattle,,Cascade Range,Washington,,1946.0
Manzano,"May, Jun, Jul, Aug, Sep, Oct",North America,"Mountainaire, NM",United States,Walk up,10078.0,3071.7744,,34.5908,-106.446,,"Albuquerque, NM",,,New Mexico,,
Fletschhorn,,Europe,"Saas Balen, Saas Grund, Simplon, Eggen",Switzerland,Basic Snow/Ice Climb,13100.0,3992.88,,46.168105,8.003239,,,,Pennine Alps,,,
Piz Languard,"Jul, Aug, Sep",Europe,Pontresina,Switzerland,Walk up,10702.0,3261.9696,,46.488471999999994,9.956472,,Milano Malpensa,,Rhaetian Alps,,,
Mount Nebo,"Jul, Aug, Sep, Oct",North America,"Nephi, Utah",United States,Walk up,11928.0,3635.6544,,39.8217,-111.759,,Salt Lake City International,,Wasatch Range,Utah,,
Mount Hope,"May, Jun, Jul",North America,Paul Claus's Ultima Thule,United States,Technical Climb,12200.0,3718.56,"Michael Coyne, Michael Daly, Fred Birchenough: Expedition Outreach",60.7036,-141.0614,,"Anchorage, Alaska",,Wrangell Mountains,Alaska,,1998.0
Hawksbill,"Sep, Oct",North America,New Market,United States,Walk up,4091.0,1246.9368,,,,,Dulles International,,Blue Ridge Mountains,Virginia,,
Kun,"Jun, Jul, Aug",Asia,,India,Major Mountain Expedition,23218.0,7076.8464,,34.012807,76.05699200000001,,Srinagar or Leh,,Punjab Himalaya,,,
Saulakopf,"Jul, Aug, Sep",Europe,Brand,Austria,Technical Climb,8254.0,2515.8192,,47.0833,9.1,,Zurich,,,,,
Gasherbrum II,"Jul, Aug",Asia,Aksole,Pakistan,Major Mountain Expedition,26360.0,8034.528,Austrian expedition,35.757831,76.653028,,"Islamabad, Pakistan",,Karakoram,,,1956.0
Stecknadelhorn,,Europe,"Saas-Fee, Randa",Switzerland,Basic Snow/Ice Climb,13914.0,4240.9872,,46.111528,7.859667,,Geneva,,,,,
Strahlhorn,"Jul, Aug, Sep",Europe,Saas-Fee,Switzerland,Basic Snow/Ice Climb,13747.0,4190.0856,"Christopher Smyth, Ulrich Lauener, Edmund J. Grenville, and Franz-Josef Andenmatten",46.013327000000004,7.901831,,Geneva,,Pennine Alps,,,1854.0
Aiguille des Glaciers,,Europe,,France,,12520.0,3816.0959999999995,,45.778611,6.8025,,,,,,,
Natal,"Jun, Jul, Aug, Sep, Oct",North America,Marblemount,United States,Scramble,7800.0,2377.44,"Mark Allaback, John Roper",48.530770000000004,-120.86978,,Seattle,,Cascade Range,Washington,,1981.0
Storebjrn,,Europe,,Norway,Basic Snow/Ice Climb,7290.0,2221.992,,,,,,,Jotunheimen,,,
Big Jim,"Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Walk up,7763.0,2366.1624,,47.662324,-120.832272,,Seattle,,Cascade Range,Washington,,
Goose Bump,"Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Scramble,7377.0,2248.5096,,,,,Seattle,,Cascade Range,Washington,,
Painters Thumb,"Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Walk up,6744.0,2055.5712,,47.675184,-120.85111100000002,,Seattle,,Cascade Range,Washington,,
Little Tumy,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,Leavenworth,United States,Walk up,3360.0,1024.128,,,,,Seattle,,Cascade Range,Washington,,
University Peak,"Jun, Jul, Aug, Sep",North America,Independence,United States,Scramble,13632.0,4155.0336,"J.N. LeConte, Helen M. Gompertz, Estelle Miller, Belle Miller",36.7481,-118.361,,Reno,,Sierra Nevada,California,,1896.0
Wendelstein,"May, Jun, Jul, Aug, Sep, Oct, Nov",Europe,Bayrischzell,Germany,Walk up,6030.0,1837.944,,47.7,12.0,,Munich,,Bavarian Alps,,,
Pik Karl Marx,"Jul, Aug, Sep",Asia,Osh,Tajikistan,Major Mountain Expedition,22057.0,6722.9736,Beletski/Abalakov and 5 other climbers,37.15,72.4819,,Tashkent,,Pamir,,,1946.0
Pik Engels,"Jul, Aug, Sep",Asia,,Tajikistan,Major Mountain Expedition,21358.0,6509.9184,,37.1667,72.5222,,Tashkent,,,,,1954.0
Svanatindan,"May, Jun, Jul, Aug, Sep",Europe,Kongsvoll,Norway,Walk up,7247.0,2208.8856,,,,,Oslo,,,,,
Indecision,"Jun, Jul, Aug, Sep, Oct",North America,Marblemount,United States,Scramble,7945.0,2421.636,"Bill Arundell, Marilyn Jensen, Stan Jensen, Frank King, Joanne Williams",48.535619,-120.85879299999999,,Seattle,,Cascade Range,Washington,,1972.0
Mount Davis,,North America,,United States,Walk up,3213.0,979.3224,,39.7861,-79.1761,,Pittsburgh,,Allegheny Mountains,Pennsylvania,,
Meulfire,"Jun, Jul, Aug, Sep, Oct",North America,Marblemount,United States,Scramble,7930.0,2417.064,"Joe Firey, Joan Firey, John Meulemans, Irene Muelemans",48.536159000000005,-120.858493,,Seattle,,Cascade Range,Washington,,1966.0
Outpost,"Jun, Jul, Aug, Sep, Oct",North America,Marblemount,United States,Scramble,7910.0,2410.968,John Roper,48.523426,-120.903769,,Seattle,,Cascade Range,Washington,,
Pethangtse,,Asia,"Namche-Bazar, Nepal, ...check also Makalu...",None,Basic Snow/Ice Climb,22106.0,6737.9088,,,,,"Kathmandu, Nepal",,Central Nepal Himalaya,,,
Glockturm,"Jun, Jul, Aug, Sep",Europe,"Feichten, Kaunertal",Austria,Walk up,11001.0,3353.1048,,46.893056,10.665556,,Innsbruck,,,,,
Hohe Geige,"Jul, Aug",Europe,Plangeross,Austria,Scramble,11132.0,3393.0336,,47.004721999999994,10.908611,,Innsbruck,,,,,
Hintere Goinger Halt,"Jul, Aug, Sep, Oct",Europe,Ellmau,Austria,Walk up,7192.0,2192.1216,,,,,"Innsbruck, Munich, Salzburg",,Kitzbuhel,,,
Breckenridge Mountain,"May, Jun, Jul, Aug, Sep, Oct, Nov",North America,"Bakersfield, CA",United States,Walk up,7548.0,2300.6304,,35.4511,-118.583,,"Bakersfield, CA",,Sierra Nevada,California,,
Weissseespitze,"Jul, Aug",Europe,"Langtaufers, Kaunertal",Austria,Scramble,11542.0,3518.0016,,46.846667,10.717222,,"Milano, Innsbruck",,Otztal Alps,,,
Kreusspitze,"Jun, Jul, Aug, Sep",Europe,Innsbruck,Austria,Walk up,10170.0,3099.816,,47.25,11.25,,Munich,,Stubai Alps,,,
Gasherbrum IV,"Jun, Jul, Aug",Asia,Askole,Pakistan,Major Mountain Expedition,26001.0,7925.1048,"Walter Bonatti, Carlo Mauri",35.762359000000004,76.61590600000001,,"Islamabad, Pakistan",,Karakoram,,,1958.0
Piz Casnile,"Jun, Jul, Aug",Europe,,Switzerland,Scramble,10462.0,3188.8176,,,,,Zurich or Geneva,,,,,1880.0
Chogolisa,"Jul, Aug",Asia,Askole,Pakistan,Major Mountain Expedition,25147.0,7664.8056,"F. Pressl, G. Ammerer",35.613279,76.574364,,Islamabad,,Karakoram,,,1975.0
Cho Polu,,Asia,Namche Bazar,Nepal,Basic Snow/Ice Climb,21965.0,6694.932,,27.919166999999998,86.981944,,Kathmandu,,,,,
Eightmile Mountain,"Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Scramble,7996.0,2437.1808,,47.5322,-120.895,,Seattle,,Cascade Range,Washington,,
Four Jacks,"Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Walk up,7828.0,2385.9744,,,,,Seattle,,Cascade Range,Washington,,
Dudly Spire,"Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Scramble,7492.0,2283.5616,"William Long, Kathy Long, Elvin Johnson, Mrs. Johson",,,,Seattle,,Cascade Range,Washington,,1948.0
Axis Mountain,"Jun, Jul, Aug, Sep",North America,Leavenworth,United States,Scramble,7550.0,2301.24,,47.508331,-120.87377099999999,,Seattle,,Cascade Range,Washington,,
Grosser Bettelwurf,"Jun, Jul, Aug, Sep, Oct",Europe,Hall,Austria,Walk up,8940.0,2724.9120000000003,L. v. Barth,47.35,11.5167,,Innsbruck,,,,,1855.0
Totenkirchl,"Jun, Jul, Aug, Sep, Oct",Europe,,Austria,Technical Climb,7185.0,2189.988,,47.57,12.311944,,Innsbruck,,Kitzbuhel,,,1881.0
Carne Mtn,"Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Walk up,7085.0,2159.508,,48.0881,-120.803,,Seattle,,Cascade Range,Washington,,
Ice Box,"Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Scramble,8112.0,2472.5376,,48.112142999999996,-120.79555,,Seattle,,Cascade Range,Washington,,
Chilly Mtn,"Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Scramble,7960.0,2426.208,,,,,Seattle,,Cascade Range,Washington,,
Gspaltenhorn,"Jun, Jul, Aug",Europe,,Switzerland,Technical Climb,11273.0,3436.0104,,46.511389,7.8277779999999995,,Zurich or Geneva,,Berner Oberland,,,1869.0
Hlolela,,Africa,Bergville,South Africa,,7218.0,2200.0464,,,,,Durban International,,Drakensberg,,,
Henry Mountain,"Jul, Aug, Sep",North America,Gunnison,United States,Scramble,13254.0,4039.8192,,38.6833,-106.617,,Gunnison Airport,,Sawatch Range,Colorado,,
Gasherbrum III,"Jul, Aug",Asia,,Pakistan,Major Mountain Expedition,26089.0,7951.9272,,35.759316999999996,76.64161,,Islamabad,,Karakoram,,,1975.0
Mount Aragats,"Jul, Aug, Sep",Europe,Yerevan,Armenia,Scramble,13418.0,4089.8064,,40.523156,44.194593,,Yerevan International Airport (EVN),,,,,
Velouchi,"Jun, Jul, Sep",Europe,Karpenisi,Greece,Walk up,7595.0,2314.956,,,,,Athens,,Greek-Albanian Ranges,,,
Patteriol,"Aug, Sep",Europe,St. Anton,Austria,Scramble,10026.0,3055.9248,,47.044081,10.187608,,Innsbruck,,,,,
Chim Targa,"Jul, Aug",Asia,,Tajikistan,Technical Climb,18002.0,5487.0096,,,,,Samarkand,,Pamir,,,
Slide Mountain,"May, Jun, Jul, Aug, Sep, Oct",North America,Kingston,United States,Walk up,4180.0,1274.0639999999999,,41.998611,-74.38638900000001,,Stewart,,Catskill Mountains,New York,,
Mount Rogers,"Apr, May, Jun, Jul, Aug, Sep",North America,"Marion, VA",United States,Walk up,5729.0,1746.1992,,36.6597,-81.5447,,,,Blue Ridge Mountains,Virginia,,
Mount Graham,"Apr, May, Jun, Sep, Oct, Nov",North America,Safford,United States,Walk up,10720.0,3267.4559999999997,San Carlos Apache tribe,32.7,-109.867,,Tucson,,,Arizona,,
Mont Blanc de Courmayeur,"Mar, Apr, May, Jul, Aug, Sep",Europe,"Chamonix, Courmayeur",Italy,Basic Snow/Ice Climb,15577.0,4747.8696,,45.828889000000004,6.8694440000000005,,,,Savoy Alps,,,
Haystack,"Apr, May, Jun, Jul, Aug, Sep",North America,Keen Valley,United States,Scramble,4960.0,1511.808,,44.1056,-73.9008,,Lake Placid,,Adirondacks,New York,,
